Date	SP500
2026-01-01	6920.95
2025-12-01	6845.50
2025-11-01	6849.09
2025-10-01	6840.20
2025-09-01	6688.46
2025-08-01	6460.26
2025-07-01	6339.39
2025-06-01	6204.95
2025-05-01	5911.69
2025-04-01	5569.06
2025-03-01	5611.85
2025-02-01	5954.50
2025-01-01	6040.53
2024-12-01	5881.63
2024-11-01	6032.38
2024-10-01	5705.45
2024-09-01	5762.48
2024-08-01	5648.40
2024-07-01	5522.30
2024-06-01	5460.48
2024-05-01	5277.51
2024-04-01	5035.69
2024-03-01	5254.35
2024-02-01	5096.27
2024-01-01	4845.65
2023-12-01	4769.83
2023-11-01	4567.80
2023-10-01	4193.80
2023-09-01	4288.05
2023-08-01	4507.66
2023-07-01	4588.96
2023-06-01	4450.38
2023-05-01	4179.83
2023-04-01	4169.48
2023-03-01	4109.31
2023-02-01	3970.15
2023-01-01	4076.60
2022-12-01	3839.50
2022-11-01	4080.11
2022-10-01	3871.98
2022-09-01	3585.62
2022-08-01	3955.00
2022-07-01	4130.29
2022-06-01	3785.38
2022-05-01	4132.15
2022-04-01	4131.93
2022-03-01	4530.41
2022-02-01	4373.94
2022-01-01	4515.55
2021-12-01	4766.18
2021-11-01	4567.00
2021-10-01	4605.38
2021-09-01	4307.54
2021-08-01	4522.68
2021-07-01	4395.26
2021-06-01	4297.50
2021-05-01	4204.11
2021-04-01	4181.17
2021-03-01	3972.89
2021-02-01	3811.15
2021-01-01	3714.24
2020-12-01	3756.07
2020-11-01	3621.63
2020-10-01	3269.96
2020-09-01	3363.00
2020-08-01	3500.31
2020-07-01	3271.12
2020-06-01	3100.29
2020-05-01	3044.31
2020-04-01	2912.43
2020-03-01	2584.59
2020-02-01	2954.22
2020-01-01	3225.52
2019-12-01	3230.78
2019-11-01	3140.98
2019-10-01	3037.56
2019-09-01	2976.74
2019-08-01	2926.46
2019-07-01	2980.38
2019-06-01	2941.76
2019-05-01	2752.06
2019-04-01	2945.83
2019-03-01	2834.40
2019-02-01	2784.49
2019-01-01	2704.10
2018-12-01	2506.85
2018-11-01	2760.17
2018-10-01	2711.74
2018-09-01	2913.98
2018-08-01	2901.52
2018-07-01	2816.29
2018-06-01	2718.37
2018-05-01	2705.27
2018-04-01	2648.05
2018-03-01	2640.87
2018-02-01	2713.83
2018-01-01	2823.81
2017-12-01	2673.61
2017-11-01	2647.58
2017-10-01	2575.26
2017-09-01	2519.36
2017-08-01	2471.65
2017-07-01	2470.30
2017-06-01	2423.41
2017-05-01	2411.80
2017-04-01	2384.20
2017-03-01	2362.72
2017-02-01	2363.64
2017-01-01	2278.87
2016-12-01	2238.83
2016-11-01	2198.81
2016-10-01	2126.15
2016-09-01	2168.27
2016-08-01	2170.95
2016-07-01	2173.60
2016-06-01	2098.86
2016-05-01	2096.96
2016-04-01	2065.30
2016-03-01	2059.74
2016-02-01	1932.23
2016-01-01	1940.24
2015-12-01	2043.94
2015-11-01	2080.41
2015-10-01	2079.36
2015-09-01	1920.03
2015-08-01	1972.18
2015-07-01	2103.84
2015-06-01	2063.11
2015-05-01	2107.39
2015-04-01	2085.51
2015-03-01	2067.89
2015-02-01	2104.50
2015-01-01	1994.99
2014-12-01	2058.90
2014-11-01	2067.56
2014-10-01	2018.05
2014-09-01	1972.29
2014-08-01	2003.37
2014-07-01	1930.67
2014-06-01	1960.23
2014-05-01	1923.57
2014-04-01	1883.95
2014-03-01	1872.34
2014-02-01	1859.45
2014-01-01	1782.60
2013-12-01	1848.40
2013-11-01	1805.80
2013-10-01	1756.50
2013-09-01	1681.50
2013-08-01	1633.00
2013-07-01	1685.70
2013-06-01	1606.30
2013-05-01	1630.70
2013-04-01	1597.60
2013-03-01	1569.20
2013-02-01	1514.70
2013-01-01	1498.10
2012-12-01	1426.20
2012-11-01	1416.20
2012-10-01	1412.20
2012-09-01	1440.70
2012-08-01	1406.60
2012-07-01	1379.30
2012-06-01	1362.20
2012-05-01	1310.30
2012-04-01	1397.90
2012-03-01	1408.50
2012-02-01	1365.70
2012-01-01	1312.40
2011-12-01	1257.60
2011-11-01	1247.00
2011-10-01	1253.30
2011-09-01	1131.40
2011-08-01	1218.90
2011-07-01	1292.30
2011-06-01	1320.60
2011-05-01	1345.20
2011-04-01	1363.60
2011-03-01	1325.80
2011-02-01	1327.20
2011-01-01	1286.10
2010-12-01	1257.60
2010-11-01	1180.50
2010-10-01	1183.30
2010-09-01	1141.20
2010-08-01	1049.30
2010-07-01	1101.60
2010-06-01	1030.70
2010-05-01	1089.40
2010-04-01	1186.70
2010-03-01	1169.40
2010-02-01	1104.50
2010-01-01	1073.90
2009-12-01	1115.10
2009-11-01	1095.60
2009-10-01	1036.20
2009-09-01	1057.10
2009-08-01	1020.60
2009-07-01	987.50
2009-06-01	919.30
2009-05-01	919.10
2009-04-01	872.80
2009-03-01	797.90
2009-02-01	735.10
2009-01-01	825.90
2008-12-01	903.20
2008-11-01	896.20
2008-10-01	968.80
2008-09-01	1166.40
2008-08-01	1282.80
2008-07-01	1267.40
2008-06-01	1280.00
2008-05-01	1400.40
2008-04-01	1385.60
2008-03-01	1322.70
2008-02-01	1330.60
2008-01-01	1378.50
2007-12-01	1468.40
2007-11-01	1481.10
2007-10-01	1549.40
2007-09-01	1526.80
2007-08-01	1474.00
2007-07-01	1455.30
2007-06-01	1503.30
2007-05-01	1530.60
2007-04-01	1482.40
2007-03-01	1420.90
2007-02-01	1406.80
2007-01-01	1438.20
