Date,SP500
1/1/2026,"6,920.95"
12/1/2025,"6,845.50"
11/1/2025,"6,849.09"
10/1/2025,"6,840.20"
9/1/2025,"6,688.46"
8/1/2025,"6,460.26"
7/1/2025,"6,339.39"
6/1/2025,"6,204.95"
5/1/2025,"5,911.69"
4/1/2025,"5,569.06"
3/1/2025,"5,611.85"
2/1/2025,"5,954.50"
1/1/2025,"6,040.53"
12/1/2024,"5,881.63"
11/1/2024,"6,032.38"
10/1/2024,"5,705.45"
9/1/2024,"5,762.48"
8/1/2024,"5,648.40"
7/1/2024,"5,522.30"
6/1/2024,"5,460.48"
5/1/2024,"5,277.51"
4/1/2024,"5,035.69"
3/1/2024,"5,254.35"
2/1/2024,"5,096.27"
1/1/2024,"4,845.65"
12/1/2023,"4,769.83"
11/1/2023,"4,567.80"
10/1/2023,"4,193.80"
9/1/2023,"4,288.05"
8/1/2023,"4,507.66"
7/1/2023,"4,588.96"
6/1/2023,"4,450.38"
5/1/2023,"4,179.83"
4/1/2023,"4,169.48"
3/1/2023,"4,109.31"
2/1/2023,"3,970.15"
1/1/2023,"4,076.60"
12/1/2022,"3,839.50"
11/1/2022,"4,080.11"
10/1/2022,"3,871.98"
9/1/2022,"3,585.62"
8/1/2022,"3,955.00"
7/1/2022,"4,130.29"
6/1/2022,"3,785.38"
5/1/2022,"4,132.15"
4/1/2022,"4,131.93"
3/1/2022,"4,530.41"
2/1/2022,"4,373.94"
1/1/2022,"4,515.55"
12/1/2021,"4,766.18"
11/1/2021,"4,567.00"
10/1/2021,"4,605.38"
9/1/2021,"4,307.54"
8/1/2021,"4,522.68"
7/1/2021,"4,395.26"
6/1/2021,"4,297.50"
5/1/2021,"4,204.11"
4/1/2021,"4,181.17"
3/1/2021,"3,972.89"
2/1/2021,"3,811.15"
1/1/2021,"3,714.24"
12/1/2020,"3,756.07"
11/1/2020,"3,621.63"
10/1/2020,"3,269.96"
9/1/2020,"3,363.00"
8/1/2020,"3,500.31"
7/1/2020,"3,271.12"
6/1/2020,"3,100.29"
5/1/2020,"3,044.31"
4/1/2020,"2,912.43"
3/1/2020,"2,584.59"
2/1/2020,"2,954.22"
1/1/2020,"3,225.52"
12/1/2019,"3,230.78"
11/1/2019,"3,140.98"
10/1/2019,"3,037.56"
9/1/2019,"2,976.74"
8/1/2019,"2,926.46"
7/1/2019,"2,980.38"
6/1/2019,"2,941.76"
5/1/2019,"2,752.06"
4/1/2019,"2,945.83"
3/1/2019,"2,834.40"
2/1/2019,"2,784.49"
1/1/2019,"2,704.10"
12/1/2018,"2,506.85"
11/1/2018,"2,760.17"
10/1/2018,"2,711.74"
9/1/2018,"2,913.98"
8/1/2018,"2,901.52"
7/1/2018,"2,816.29"
6/1/2018,"2,718.37"
5/1/2018,"2,705.27"
4/1/2018,"2,648.05"
3/1/2018,"2,640.87"
2/1/2018,"2,713.83"
1/1/2018,"2,823.81"
12/1/2017,"2,673.61"
11/1/2017,"2,647.58"
10/1/2017,"2,575.26"
9/1/2017,"2,519.36"
8/1/2017,"2,471.65"
7/1/2017,"2,470.30"
6/1/2017,"2,423.41"
5/1/2017,"2,411.80"
4/1/2017,"2,384.20"
3/1/2017,"2,362.72"
2/1/2017,"2,363.64"
1/1/2017,"2,278.87"
12/1/2016,"2,238.83"
11/1/2016,"2,198.81"
10/1/2016,"2,126.15"
9/1/2016,"2,168.27"
8/1/2016,"2,170.95"
7/1/2016,"2,173.60"
6/1/2016,"2,098.86"
5/1/2016,"2,096.96"
4/1/2016,"2,065.30"
3/1/2016,"2,059.74"
2/1/2016,"1,932.23"
1/1/2016,"1,940.24"
12/1/2015,"2,043.94"
11/1/2015,"2,080.41"
10/1/2015,"2,079.36"
9/1/2015,"1,920.03"
8/1/2015,"1,972.18"
7/1/2015,"2,103.84"
6/1/2015,"2,063.11"
5/1/2015,"2,107.39"
4/1/2015,"2,085.51"
3/1/2015,"2,067.89"
2/1/2015,"2,104.50"
1/1/2015,"1,994.99"
12/1/2014,"2,058.90"
11/1/2014,"2,067.56"
10/1/2014,"2,018.05"
9/1/2014,"1,972.29"
8/1/2014,"2,003.37"
7/1/2014,"1,930.67"
6/1/2014,"1,960.23"
5/1/2014,"1,923.57"
4/1/2014,"1,883.95"
3/1/2014,"1,872.34"
2/1/2014,"1,859.45"
1/1/2014,"1,782.60"
12/1/2013,"1,848.40"
11/1/2013,"1,805.80"
10/1/2013,"1,756.50"
9/1/2013,"1,681.50"
8/1/2013,"1,633.00"
7/1/2013,"1,685.70"
6/1/2013,"1,606.30"
5/1/2013,"1,630.70"
4/1/2013,"1,597.60"
3/1/2013,"1,569.20"
2/1/2013,"1,514.70"
1/1/2013,"1,498.10"
12/1/2012,"1,426.20"
11/1/2012,"1,416.20"
10/1/2012,"1,412.20"
9/1/2012,"1,440.70"
8/1/2012,"1,406.60"
7/1/2012,"1,379.30"
6/1/2012,"1,362.20"
5/1/2012,"1,310.30"
4/1/2012,"1,397.90"
3/1/2012,"1,408.50"
2/1/2012,"1,365.70"
1/1/2012,"1,312.40"
12/1/2011,"1,257.60"
11/1/2011,"1,247.00"
10/1/2011,"1,253.30"
9/1/2011,"1,131.40"
8/1/2011,"1,218.90"
7/1/2011,"1,292.30"
6/1/2011,"1,320.60"
5/1/2011,"1,345.20"
4/1/2011,"1,363.60"
3/1/2011,"1,325.80"
2/1/2011,"1,327.20"
1/1/2011,"1,286.10"
12/1/2010,"1,257.60"
11/1/2010,"1,180.50"
10/1/2010,"1,183.30"
9/1/2010,"1,141.20"
8/1/2010,"1,049.30"
7/1/2010,"1,101.60"
6/1/2010,"1,030.70"
5/1/2010,"1,089.40"
4/1/2010,"1,186.70"
3/1/2010,"1,169.40"
2/1/2010,"1,104.50"
1/1/2010,"1,073.90"
12/1/2009,"1,115.10"
11/1/2009,"1,095.60"
10/1/2009,"1,036.20"
9/1/2009,"1,057.10"
8/1/2009,"1,020.60"
7/1/2009,987.5
6/1/2009,919.3
5/1/2009,919.1
4/1/2009,872.8
3/1/2009,797.9
2/1/2009,735.1
1/1/2009,825.9
12/1/2008,903.2
11/1/2008,896.2
10/1/2008,968.8
9/1/2008,"1,166.40"
8/1/2008,"1,282.80"
7/1/2008,"1,267.40"
6/1/2008,"1,280.00"
5/1/2008,"1,400.40"
4/1/2008,"1,385.60"
3/1/2008,"1,322.70"
2/1/2008,"1,330.60"
1/1/2008,"1,378.50"
12/1/2007,"1,468.40"
11/1/2007,"1,481.10"
10/1/2007,"1,549.40"
9/1/2007,"1,526.80"
8/1/2007,"1,474.00"
7/1/2007,"1,455.30"
6/1/2007,"1,503.30"
5/1/2007,"1,530.60"
4/1/2007,"1,482.40"
3/1/2007,"1,420.90"
2/1/2007,"1,406.80"
1/1/2007,"1,438.20"
12/1/2006,"1,418.30"
11/1/2006,"1,400.60"
10/1/2006,"1,377.90"
9/1/2006,"1,335.80"
8/1/2006,"1,303.80"
7/1/2006,"1,276.70"
6/1/2006,"1,270.20"
5/1/2006,"1,270.10"
4/1/2006,"1,310.60"
3/1/2006,"1,294.80"
2/1/2006,"1,280.70"
1/1/2006,"1,280.10"
12/1/2005,"1,248.30"
11/1/2005,"1,249.50"
10/1/2005,"1,207.00"
9/1/2005,"1,228.80"
8/1/2005,"1,220.30"
7/1/2005,"1,234.20"
6/1/2005,"1,191.30"
5/1/2005,"1,191.50"
4/1/2005,"1,156.80"
3/1/2005,"1,180.60"
2/1/2005,"1,203.60"
1/1/2005,"1,181.30"
12/1/2004,"1,211.90"
11/1/2004,"1,173.80"
10/1/2004,"1,130.20"
9/1/2004,"1,114.60"
8/1/2004,"1,104.20"
7/1/2004,"1,101.70"
6/1/2004,"1,140.80"
5/1/2004,"1,120.70"
4/1/2004,"1,107.30"
3/1/2004,"1,126.20"
2/1/2004,"1,144.90"
1/1/2004,"1,131.10"
12/1/2003,"1,111.90"
11/1/2003,"1,058.20"
10/1/2003,"1,050.70"
9/1/2003,996
8/1/2003,"1,008.00"
7/1/2003,990.3
6/1/2003,974.5
5/1/2003,963.6
4/1/2003,916.9
3/1/2003,848.2
2/1/2003,841.1
1/1/2003,855.7
12/1/2002,879.8
11/1/2002,936.3
10/1/2002,885.8
9/1/2002,815.3
8/1/2002,916.1
7/1/2002,911.6
6/1/2002,989.8
5/1/2002,"1,067.10"
4/1/2002,"1,076.90"
3/1/2002,"1,147.40"
2/1/2002,"1,106.70"
1/1/2002,"1,130.20"
12/1/2001,"1,148.10"
11/1/2001,"1,139.50"
10/1/2001,"1,059.80"
9/1/2001,"1,040.90"
8/1/2001,"1,133.60"
7/1/2001,"1,211.20"
6/1/2001,"1,224.40"
5/1/2001,"1,255.80"
4/1/2001,"1,249.50"
3/1/2001,"1,160.30"
2/1/2001,"1,239.90"
1/1/2001,"1,366.00"
12/1/2000,"1,320.30"
11/1/2000,"1,315.00"
10/1/2000,"1,429.40"
9/1/2000,"1,436.50"
8/1/2000,"1,517.70"
7/1/2000,"1,430.80"
6/1/2000,"1,454.60"
5/1/2000,"1,420.60"
4/1/2000,"1,452.40"
3/1/2000,"1,498.60"
2/1/2000,"1,366.40"
